Stop: Grand Moulin (Ballan-Miré) => 10|Grand Moulin|Ballan-Miré [35]
Stop: Salengro (Tours) => 634|Salengro|Tours [35]
Stop: Savonnieres Grottes Petrifiantes (Savonnières) => 450|Savonnieres Grottes Petrifiantes|Savonnières [35]
Stop: Savonnieres Poste (Savonnières) => 451|Savonnieres Poste|Savonnières [35]
Stop: Jean Jaurès (Tours) => 557|Jean Jaurès|Tours [35]
Stop: Place de la Liberté (Tours) => 614|Place de la Liberté|Tours [35]
Stop: Verdun (Tours) => 673|Verdun|Tours [35]
Stop: Boisdenier (Tours) => 473|Boisdenier|Tours [35]
Stop: Gare de Tours (Tours) => 540|Gare de Tours|Tours [35]
Stop: Gare Vinci (Tours) => 541|Gare Vinci|Tours [35]
Stop: Office De Tourisme Villandry (Villandry) => 688|Office De Tourisme Villandry|Villandry [35]
Stop: Charcot (Tours) => 489|Charcot|Tours [35]
Stop: St Sauveur (Tours) => 649|St Sauveur|Tours [35]
Stop: Chateau De Villandry (Villandry) => 687|Chateau De Villandry|Villandry [35]
Stop: Churchill (Tours) => 496|Churchill|Tours [35]
